Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2421536,-,-,-,30.61,47.74,0,3,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Wind Speed,
2018,1,1,0,30,11.4,0,0,0,2.3000000000000003,N/A
2018,1,1,1,30,10.9,0,0,0,2.4000000000000004,N/A
2018,1,1,2,30,10.5,0,0,0,2.5,N/A
2018,1,1,3,30,11.200000000000001,0,0,0,2.9000000000000004,N/A
2018,1,1,4,30,13.4,56,182,79,3.7,N/A
2018,1,1,5,30,16.3,116,439,249,4.1000000000000005,N/A
2018,1,1,6,30,20.1,150,577,408,4.9,N/A
2018,1,1,7,30,23.400000000000002,175,635,520,6.1000000000000005,N/A
2018,1,1,8,30,25.1,274,216,401,6.4,N/A
2018,1,1,9,30,25.700000000000003,271,201,389,6.300000000000001,N/A
2018,1,1,10,30,25.700000000000003,236,106,291,6.1000000000000005,N/A
2018,1,1,11,30,24.900000000000002,200,350,345,5.5,N/A
2018,1,1,12,30,22.700000000000003,103,59,119,4.1000000000000005,N/A
2018,1,1,13,30,20,24,0,24,2.9000000000000004,N/A
2018,1,1,14,30,18.2,0,0,0,2.3000000000000003,N/A
2018,1,1,15,30,16.900000000000002,0,0,0,1.6,N/A
2018,1,1,16,30,15.9,0,0,0,1.8,N/A
2018,1,1,17,30,15.3,0,0,0,3,N/A
2018,1,1,18,30,14.700000000000001,0,0,0,4.2,N/A
2018,1,1,19,30,14.100000000000001,0,0,0,4.4,N/A
2018,1,1,20,30,13.4,0,0,0,3.1,N/A
2018,1,1,21,30,13,0,0,0,1.5,N/A
2018,1,1,22,30,12.700000000000001,0,0,0,0.6000000000000001,N/A
2018,1,1,23,30,12.600000000000001,0,0,0,0.5,N/A
2018,1,2,0,30,11.9,0,0,0,1.3,N/A
2018,1,2,1,30,11.200000000000001,0,0,0,1.8,N/A
2018,1,2,2,30,10.3,0,0,0,2.3000000000000003,N/A
2018,1,2,3,30,10.3,0,0,0,3.3000000000000003,N/A
2018,1,2,4,30,11.600000000000001,60,86,71,4.1000000000000005,N/A
2018,1,2,5,30,14.100000000000001,134,357,243,4.5,N/A
2018,1,2,6,30,17.1,179,497,401,4.9,N/A
2018,1,2,7,30,19.3,198,585,516,5.1000000000000005,N/A
2018,1,2,8,30,20.200000000000003,205,621,572,5.2,N/A
2018,1,2,9,30,20.400000000000002,204,613,562,5.4,N/A
2018,1,2,10,30,20.200000000000003,190,566,487,5.300000000000001,N/A
2018,1,2,11,30,19.6,166,470,362,5.2,N/A
2018,1,2,12,30,18,117,301,197,4.1000000000000005,N/A
2018,1,2,13,30,15.600000000000001,34,43,38,2.8000000000000003,N/A
2018,1,2,14,30,14,0,0,0,2.5,N/A
2018,1,2,15,30,13.3,0,0,0,2.5,N/A
2018,1,2,16,30,12.5,0,0,0,2.4000000000000004,N/A
2018,1,2,17,30,11.8,0,0,0,2.3000000000000003,N/A
2018,1,2,18,30,11.200000000000001,0,0,0,2.2,N/A
2018,1,2,19,30,10.600000000000001,0,0,0,2.1,N/A
2018,1,2,20,30,10.100000000000001,0,0,0,1.9000000000000001,N/A
2018,1,2,21,30,9.600000000000001,0,0,0,1.7000000000000002,N/A
2018,1,2,22,30,9.3,0,0,0,1.5,N/A
2018,1,2,23,30,9.200000000000001,0,0,0,1.4000000000000001,N/A
2018,1,3,0,30,8.8,0,0,0,1.3,N/A
2018,1,3,1,30,8.6,0,0,0,1.3,N/A
2018,1,3,2,30,8.3,0,0,0,1.3,N/A
